2025/11/28 19:20:20 [error] 14609#14609: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "localhost"
2025/11/29 02:39:01 [error] 52564#52564: *1929 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/a19694c9-45a9-458c-babb-a66689706cfc"
2025/11/29 02:42:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:42:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:42:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:42:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:42:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:43:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:43:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:43:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:43:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
